Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10n,C_0603_1608Metric,131.4,-115.2,90,top
C3,100n,C_0603_1608Metric,133.29,-113.1,90,top
C4,10u,C_0805_2012Metric,137.3,-114.2825,180,top
C5,100n,C_0603_1608Metric,139.315,-109.5,90,top
D1,LED,LED_PLCC_2835,131.1,-65.8,180,top
D2,MB10S,SOIC245P670X290-4N,137.325,-119.5,-90,top
J1,Conn_01x02_Socket,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,130.497631,-126.096208,90,top
J3,Conn_01x03_Socket,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,130.497631,-137.946208,90,top
NE555D1,NE555D,SOIC-8_3.9x4.9mm_P1.27mm,135.69,-107.7,-90,top
Q2,AO3400A,SOT-23,125.4275,-102.7,90,top
Q3,MMBT5551L,SOT-23,129.54,-104.9625,-90,top
Q4,AO3400A,SOT-23,130.54,-98.5625,90,top
R1,2.2k,R_0201_0603Metric,128.04,-99.2425,-90,top
R2,22,R_1206_3216Metric,129.54,-101.7625,180,top
R3,1k,R_0402_1005Metric,124.6275,-105.7,-90,top
R4,50k,R_0402_1005Metric,126.397631,-132.946208,0,top
R5,10k,R_0201_0603Metric,126.1075,-105.1,180,top
R6,20k,R_0402_1005Metric,137.09,-112.3,180,top
R7,20k,R_0402_1005Metric,135.09,-112.3,180,top
R9,50k,R_0402_1005Metric,126.397631,-137.946208,180,top
U1,OP07CDR,SOIC127P599X175-8N,126.8275,-112.27,90,top
